parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a[297],0.947,0.052,0.853,1.048,0.001,0.001,4111.0,2336.0,1.0
a[298],1.146,0.09,0.971,1.31,0.001,0.001,5037.0,2912.0,1.0
a[299],0.87,0.055,0.77,0.976,0.001,0.001,3629.0,2967.0,1.0
sdE[0],0.277,0.047,0.192,0.362,0.001,0.001,5271.0,2997.0,1.0
sdE[1],0.193,0.041,0.122,0.266,0.001,0.0,4514.0,2726.0,1.0
sdE[2],0.229,0.043,0.157,0.312,0.001,0.0,5241.0,3254.0,1.0
sdE[3],0.037,0.01,0.022,0.057,0.0,0.0,3325.0,1981.0,1.0
sdE[4],0.154,0.036,0.092,0.221,0.001,0.0,4837.0,2868.0,1.0
sdE[5],0.369,0.052,0.27,0.462,0.001,0.001,5619.0,2690.0,1.0
sdE[6],0.297,0.047,0.215,0.387,0.001,0.001,5235.0,2375.0,1.0
sdE[7],0.371,0.049,0.286,0.466,0.001,0.0,6523.0,2613.0,1.0
sdE[8],0.171,0.038,0.107,0.24,0.001,0.0,5296.0,2807.0,1.0
sdE[9],0.182,0.04,0.118,0.263,0.001,0.0,4785.0,3001.0,1.0
sdE[10],0.362,0.048,0.275,0.451,0.001,0.0,6448.0,3190.0,1.0
sdE[11],0.218,0.043,0.142,0.298,0.001,0.0,4991.0,2508.0,1.0
sdE[12],0.175,0.037,0.112,0.246,0.001,0.0,5531.0,3258.0,1.0
sdE[13],0.225,0.042,0.156,0.31,0.001,0.0,5446.0,3319.0,1.0
sdE[14],0.108,0.028,0.064,0.158,0.001,0.0,3681.0,2443.0,1.0
sdE[15],0.186,0.039,0.117,0.257,0.001,0.0,4310.0,2661.0,1.0
sdE[16],0.027,0.007,0.016,0.04,0.0,0.0,3431.0,2381.0,1.0
sdE[17],0.112,0.028,0.069,0.168,0.0,0.0,4085.0,2922.0,1.0
sdE[18],0.245,0.044,0.162,0.322,0.001,0.0,5418.0,2916.0,1.0
sdE[19],0.097,0.026,0.055,0.143,0.001,0.0,2947.0,2218.0,1.0
sdE[20],0.261,0.046,0.182,0.346,0.001,0.001,4796.0,3006.0,1.0
sdE[21],0.347,0.049,0.255,0.435,0.001,0.001,5044.0,2794.0,1.0
sdE[22],0.183,0.04,0.116,0.258,0.001,0.0,5287.0,2716.0,1.0
sdE[23],0.29,0.048,0.21,0.38,0.001,0.0,5693.0,3088.0,1.0
sdE[24],0.26,0.046,0.181,0.348,0.001,0.0,5496.0,3015.0,1.0
sdE[25],0.11,0.028,0.065,0.162,0.0,0.0,4425.0,2959.0,1.0
sdE[26],0.167,0.037,0.104,0.239,0.001,0.0,4850.0,3209.0,1.0
sdE[27],0.102,0.028,0.06,0.155,0.001,0.0,3105.0,1980.0,1.0
sdE[28],0.148,0.035,0.094,0.216,0.001,0.0,4054.0,2368.0,1.0
sdE[29],0.244,0.045,0.167,0.33,0.001,0.001,4839.0,2819.0,1.0
sdE[30],0.185,0.042,0.113,0.262,0.001,0.001,3710.0,2836.0,1.0
sdE[31],0.153,0.035,0.096,0.221,0.001,0.0,3814.0,2620.0,1.0
sdE[32],0.083,0.023,0.05,0.128,0.0,0.0,3553.0,2889.0,1.0
sdE[33],0.263,0.049,0.178,0.356,0.001,0.001,5526.0,2977.0,1.0
sdE[34],0.127,0.032,0.077,0.189,0.001,0.0,4007.0,2509.0,1.0
sdE[35],0.258,0.044,0.185,0.346,0.001,0.0,5588.0,3189.0,1.0
sdE[36],0.18,0.038,0.113,0.249,0.001,0.0,5478.0,3154.0,1.0
sdE[37],0.073,0.021,0.039,0.108,0.0,0.0,4052.0,2635.0,1.0
sdE[38],0.267,0.046,0.181,0.354,0.001,0.001,5030.0,2827.0,1.0
sdE[39],0.093,0.025,0.054,0.137,0.0,0.0,3683.0,2719.0,1.0
sdE[40],0.264,0.045,0.18,0.343,0.001,0.0,5431.0,3094.0,1.0
sdE[41],0.202,0.041,0.132,0.279,0.001,0.0,4751.0,2735.0,1.0
sdE[42],0.266,0.046,0.186,0.355,0.001,0.0,5744.0,3337.0,1.0
sdE[43],0.18,0.041,0.114,0.26,0.001,0.001,4212.0,2615.0,1.0
sdE[44],0.137,0.034,0.081,0.197,0.001,0.0,3791.0,2825.0,1.0
sdE[45],0.122,0.03,0.076,0.18,0.001,0.0,3531.0,2509.0,1.0
sdE[46],0.222,0.045,0.148,0.312,0.001,0.0,5323.0,3411.0,1.0
sdE[47],0.141,0.035,0.084,0.207,0.001,0.0,4667.0,3011.0,1.0
sdE[48],0.203,0.041,0.131,0.278,0.001,0.0,4694.0,2756.0,1.0
sdE[49],0.139,0.034,0.084,0.204,0.001,0.0,4459.0,2636.0,1.0
sdE[50],0.162,0.037,0.098,0.23,0.001,0.0,3890.0,3148.0,1.0
sdE[51],0.245,0.048,0.162,0.337,0.001,0.001,4859.0,2913.0,1.0
sdE[52],0.184,0.04,0.118,0.259,0.001,0.0,4503.0,2766.0,1.0
sdE[53],0.111,0.028,0.07,0.165,0.0,0.0,3978.0,2758.0,1.0
sdE[54],0.142,0.034,0.088,0.207,0.001,0.0,4548.0,3012.0,1.0
sdE[55],0.251,0.044,0.174,0.337,0.001,0.0,5146.0,2749.0,1.0
sdE[56],0.206,0.041,0.137,0.282,0.001,0.0,4989.0,2931.0,1.0
sdE[57],0.162,0.037,0.1,0.232,0.001,0.0,3838.0,2334.0,1.0
sdE[58],0.099,0.025,0.06,0.146,0.0,0.0,4147.0,2507.0,1.0
sdE[59],0.249,0.046,0.17,0.336,0.001,0.001,5106.0,2740.0,1.0
sdE[60],0.123,0.031,0.075,0.182,0.001,0.0,3976.0,2779.0,1.0
sdE[61],0.211,0.04,0.14,0.285,0.001,0.0,4557.0,2885.0,1.0
sdE[62],0.035,0.01,0.02,0.054,0.0,0.0,3470.0,2535.0,1.0
sdE[63],0.225,0.042,0.153,0.309,0.001,0.0,5667.0,3082.0,1.0
sdE[64],0.267,0.046,0.185,0.354,0.001,0.0,6146.0,3178.0,1.0
sdE[65],0.185,0.04,0.117,0.26,0.001,0.0,4341.0,2850.0,1.0
sdE[66],0.048,0.013,0.028,0.072,0.0,0.0,2713.0,2379.0,1.0
sdE[67],0.221,0.043,0.149,0.303,0.001,0.0,5659.0,2853.0,1.0
sdE[68],0.115,0.029,0.069,0.171,0.001,0.0,4292.0,2268.0,1.0
sdE[69],0.121,0.032,0.07,0.18,0.001,0.0,4490.0,3000.0,1.0
sdE[70],0.161,0.037,0.101,0.231,0.001,0.0,4340.0,3201.0,1.0
sdE[71],0.155,0.037,0.095,0.223,0.001,0.0,3988.0,3005.0,1.0
sdE[72],0.195,0.041,0.122,0.268,0.001,0.0,4393.0,2902.0,1.0
sdE[73],0.311,0.048,0.225,0.399,0.001,0.0,5987.0,2787.0,1.0
sdE[74],0.396,0.051,0.309,0.502,0.001,0.001,5460.0,2644.0,1.0
sdE[75],0.074,0.021,0.044,0.111,0.0,0.0,3306.0,2681.0,1.0
sdE[76],0.151,0.036,0.09,0.216,0.001,0.0,4496.0,2719.0,1.0
sdE[77],0.187,0.042,0.114,0.264,0.001,0.001,4269.0,2825.0,1.0
sdE[78],0.239,0.044,0.167,0.325,0.001,0.0,5521.0,2658.0,1.0
sdE[79],0.241,0.043,0.168,0.326,0.001,0.0,4549.0,2884.0,1.0
sdE[80],0.253,0.047,0.174,0.341,0.001,0.0,4978.0,2937.0,1.0
sdE[81],0.235,0.043,0.159,0.314,0.001,0.0,4720.0,3196.0,1.0
sdE[82],0.255,0.047,0.169,0.337,0.001,0.001,5317.0,2920.0,1.0
sdE[83],0.352,0.048,0.264,0.438,0.001,0.0,7565.0,2959.0,1.0
sdE[84],0.049,0.014,0.028,0.072,0.0,0.0,3422.0,2529.0,1.0
sdE[85],0.289,0.047,0.205,0.377,0.001,0.0,5555.0,2761.0,1.0
sdE[86],0.141,0.035,0.084,0.204,0.001,0.0,3548.0,2679.0,1.0
sdE[87],0.247,0.044,0.165,0.328,0.001,0.001,4350.0,2660.0,1.0
sdE[88],0.145,0.034,0.091,0.21,0.001,0.0,3676.0,2629.0,1.0
sdE[89],0.09,0.023,0.052,0.13,0.0,0.0,3981.0,3062.0,1.0
sdE[90],0.236,0.045,0.159,0.32,0.001,0.001,4004.0,2600.0,1.0
sdE[91],0.007,0.002,0.004,0.01,0.0,0.0,4318.0,2653.0,1.0
sdE[92],0.289,0.048,0.203,0.379,0.001,0.0,5494.0,3026.0,1.0
sdE[93],0.325,0.054,0.231,0.43,0.001,0.001,3736.0,2905.0,1.0
sdE[94],0.233,0.044,0.154,0.316,0.001,0.0,5483.0,2465.0,1.0
sdE[95],0.232,0.044,0.155,0.316,0.001,0.001,4870.0,2735.0,1.0
sdE[96],0.092,0.024,0.055,0.137,0.0,0.0,4385.0,3126.0,1.0
sdE[97],0.252,0.045,0.175,0.336,0.001,0.001,4871.0,2767.0,1.0
sdE[98],0.263,0.046,0.183,0.347,0.001,0.0,5701.0,3031.0,1.0
sdE[99],0.169,0.039,0.1,0.24,0.001,0.0,4027.0,3143.0,1.0
sdE[100],0.258,0.045,0.177,0.34,0.001,0.0,5903.0,3021.0,1.0
sdE[101],0.224,0.041,0.151,0.301,0.001,0.0,5684.0,2822.0,1.0
sdE[102],0.196,0.041,0.125,0.271,0.001,0.001,3992.0,2383.0,1.0
sdE[103],0.073,0.02,0.042,0.108,0.0,0.0,4348.0,2875.0,1.0
sdE[104],0.276,0.046,0.194,0.364,0.001,0.0,5960.0,3115.0,1.0
sdE[105],0.23,0.044,0.148,0.309,0.001,0.0,4662.0,3233.0,1.0
sdE[106],0.227,0.045,0.149,0.314,0.001,0.001,5003.0,2517.0,1.0
sdE[107],0.135,0.032,0.083,0.196,0.001,0.0,4236.0,3059.0,1.0
sdE[108],0.162,0.036,0.102,0.231,0.001,0.0,5305.0,2933.0,1.0
sdE[109],0.211,0.042,0.144,0.293,0.001,0.0,4980.0,3078.0,1.0
sdE[110],0.333,0.048,0.25,0.426,0.001,0.0,7105.0,3045.0,1.0
sdE[111],0.321,0.05,0.232,0.414,0.001,0.001,4940.0,3388.0,1.0
sdE[112],0.172,0.038,0.107,0.242,0.001,0.0,4583.0,3175.0,1.0
sdE[113],0.112,0.029,0.065,0.163,0.0,0.0,4283.0,3128.0,1.0
sdE[114],0.3,0.046,0.219,0.389,0.001,0.0,5342.0,3061.0,1.0
sdE[115],0.181,0.039,0.117,0.26,0.001,0.0,4914.0,2670.0,1.0
sdE[116],0.177,0.038,0.115,0.247,0.001,0.0,5633.0,3185.0,1.0
sdE[117],0.184,0.039,0.116,0.255,0.001,0.0,4807.0,2587.0,1.0
sdE[118],0.183,0.041,0.114,0.259,0.001,0.0,5168.0,3043.0,1.0
sdE[119],0.172,0.038,0.11,0.245,0.001,0.0,4708.0,2813.0,1.0
sdE[120],0.281,0.046,0.197,0.367,0.001,0.0,4814.0,2837.0,1.0
sdE[121],0.127,0.031,0.075,0.186,0.001,0.0,4047.0,3008.0,1.0
sdE[122],0.148,0.035,0.092,0.215,0.001,0.0,4553.0,3284.0,1.0
sdE[123],0.356,0.049,0.265,0.445,0.001,0.0,6264.0,3423.0,1.0
sdE[124],0.162,0.036,0.105,0.235,0.001,0.0,4940.0,2635.0,1.0
sdE[125],0.173,0.037,0.112,0.242,0.001,0.0,4174.0,3001.0,1.0
sdE[126],0.321,0.05,0.237,0.416,0.001,0.001,6062.0,3000.0,1.0
sdE[127],0.072,0.02,0.042,0.108,0.0,0.0,2997.0,2258.0,1.0
sdE[128],0.286,0.047,0.204,0.374,0.001,0.0,5108.0,2497.0,1.0
sdE[129],0.195,0.042,0.119,0.27,0.001,0.001,4375.0,2615.0,1.0
sdE[130],0.263,0.045,0.185,0.346,0.001,0.0,6065.0,2785.0,1.0
sdE[131],0.253,0.046,0.167,0.336,0.001,0.001,4599.0,2845.0,1.0
sdE[132],0.157,0.035,0.099,0.225,0.001,0.0,4183.0,2573.0,1.0
sdE[133],0.291,0.046,0.212,0.382,0.001,0.0,6382.0,3187.0,1.0
sdE[134],0.153,0.036,0.092,0.218,0.001,0.001,3633.0,2644.0,1.0
sdE[135],0.312,0.049,0.224,0.403,0.001,0.001,4622.0,3215.0,1.0
sdE[136],0.222,0.044,0.15,0.304,0.001,0.0,5590.0,2915.0,1.0
sdE[137],0.33,0.048,0.243,0.417,0.001,0.0,5347.0,3216.0,1.0
sdE[138],0.164,0.037,0.104,0.236,0.001,0.0,4414.0,2762.0,1.0
sdE[139],0.202,0.041,0.129,0.276,0.001,0.0,4445.0,2909.0,1.0
sdE[140],0.169,0.039,0.104,0.241,0.001,0.0,4647.0,2600.0,1.0
sdE[141],0.372,0.049,0.282,0.462,0.001,0.0,5308.0,2989.0,1.0
sdE[142],0.285,0.046,0.208,0.376,0.001,0.0,5460.0,2701.0,1.0
sdE[143],0.216,0.042,0.143,0.295,0.001,0.0,4961.0,3154.0,1.0
sdE[144],0.226,0.043,0.152,0.306,0.001,0.0,5211.0,3283.0,1.0
sdE[145],0.336,0.049,0.247,0.425,0.001,0.0,5494.0,2822.0,1.0
sdE[146],0.268,0.045,0.188,0.353,0.001,0.0,5895.0,3070.0,1.0
sdE[147],0.185,0.039,0.115,0.255,0.001,0.001,3657.0,2762.0,1.0
sdE[148],0.152,0.035,0.094,0.219,0.001,0.0,4200.0,2926.0,1.0
sdE[149],0.169,0.037,0.111,0.241,0.001,0.0,4298.0,2832.0,1.0
sdE[150],0.1,0.026,0.057,0.149,0.0,0.0,4162.0,2728.0,1.0
sdE[151],0.247,0.044,0.169,0.33,0.001,0.0,5992.0,2745.0,1.0
sdE[152],0.158,0.038,0.095,0.232,0.001,0.0,4149.0,2885.0,1.0
sdE[153],0.12,0.03,0.074,0.175,0.0,0.0,4125.0,2631.0,1.0
sdE[154],0.255,0.046,0.177,0.344,0.001,0.0,5516.0,2900.0,1.0
sdE[155],0.246,0.045,0.17,0.333,0.001,0.0,5543.0,3260.0,1.0
sdE[156],0.236,0.044,0.157,0.318,0.001,0.0,5304.0,2853.0,1.0
sdE[157],0.122,0.03,0.077,0.184,0.001,0.0,3847.0,2521.0,1.0
sdE[158],0.15,0.035,0.09,0.212,0.001,0.0,4078.0,2724.0,1.0
sdE[159],0.222,0.044,0.147,0.305,0.001,0.001,4492.0,3047.0,1.0
sdE[160],0.216,0.041,0.141,0.287,0.001,0.0,5185.0,3151.0,1.0
sdE[161],0.279,0.046,0.199,0.366,0.001,0.0,6706.0,2990.0,1.0
sdE[162],0.146,0.035,0.091,0.213,0.001,0.0,3703.0,3048.0,1.0
sdE[163],0.145,0.033,0.091,0.211,0.001,0.0,4524.0,2554.0,1.0
sdE[164],0.233,0.045,0.16,0.321,0.001,0.001,4855.0,3003.0,1.0
sdE[165],0.147,0.034,0.092,0.211,0.001,0.0,4995.0,3071.0,1.0
sdE[166],0.326,0.048,0.241,0.412,0.001,0.0,6807.0,3207.0,1.0
sdE[167],0.324,0.047,0.241,0.414,0.001,0.0,5048.0,2958.0,1.0
sdE[168],0.322,0.049,0.233,0.409,0.001,0.0,5717.0,3233.0,1.0
sdE[169],0.195,0.043,0.119,0.273,0.001,0.001,4002.0,3043.0,1.0
sdE[170],0.266,0.049,0.184,0.362,0.001,0.001,5017.0,3047.0,1.0
sdE[171],0.283,0.047,0.2,0.372,0.001,0.0,6684.0,2569.0,1.0
sdE[172],0.081,0.021,0.047,0.116,0.0,0.0,4420.0,3011.0,1.0
sdE[173],0.347,0.049,0.261,0.44,0.001,0.0,5992.0,2838.0,1.0
sdE[174],0.037,0.01,0.022,0.055,0.0,0.0,2990.0,1996.0,1.0
sdE[175],0.269,0.051,0.18,0.363,0.001,0.001,4062.0,3053.0,1.0
sdE[176],0.24,0.043,0.166,0.318,0.001,0.0,5164.0,2874.0,1.0
sdE[177],0.178,0.039,0.112,0.251,0.001,0.0,5162.0,2884.0,1.0
sdE[178],0.208,0.042,0.134,0.283,0.001,0.001,4328.0,2639.0,1.0
sdE[179],0.235,0.044,0.162,0.322,0.001,0.0,5796.0,3042.0,1.0
sdE[180],0.387,0.049,0.297,0.478,0.001,0.0,6441.0,2694.0,1.0
sdE[181],0.148,0.035,0.089,0.212,0.001,0.0,3666.0,2599.0,1.0
sdE[182],0.141,0.034,0.087,0.203,0.001,0.0,3778.0,2698.0,1.0
sdE[183],0.147,0.034,0.091,0.206,0.001,0.0,5009.0,2913.0,1.0
sdE[184],0.054,0.015,0.032,0.081,0.0,0.0,3200.0,2329.0,1.0
sdE[185],0.234,0.045,0.154,0.32,0.001,0.0,5085.0,2942.0,1.0
sdE[186],0.18,0.04,0.117,0.255,0.001,0.0,5241.0,2499.0,1.0
sdE[187],0.223,0.042,0.151,0.303,0.001,0.0,4643.0,2969.0,1.0
sdE[188],0.239,0.046,0.157,0.326,0.001,0.001,5646.0,2917.0,1.0
sdE[189],0.186,0.042,0.117,0.265,0.001,0.001,4895.0,2627.0,1.0
sdE[190],0.232,0.042,0.158,0.311,0.001,0.0,5281.0,2957.0,1.0
sdE[191],0.096,0.025,0.057,0.145,0.0,0.0,3672.0,2695.0,1.0
sdE[192],0.279,0.048,0.198,0.37,0.001,0.0,5622.0,2654.0,1.0
sdE[193],0.223,0.044,0.147,0.304,0.001,0.0,4672.0,3135.0,1.0
sdE[194],0.144,0.035,0.084,0.208,0.001,0.0,4243.0,2725.0,1.0
sdE[195],0.187,0.039,0.12,0.26,0.001,0.0,5218.0,3316.0,1.0
sdE[196],0.082,0.022,0.047,0.124,0.0,0.0,3784.0,2514.0,1.0
sdE[197],0.229,0.043,0.15,0.307,0.001,0.0,4440.0,3149.0,1.0
sdE[198],0.226,0.043,0.152,0.31,0.001,0.0,5892.0,2799.0,1.0
sdE[199],0.111,0.027,0.066,0.16,0.0,0.0,4419.0,2961.0,1.0
sdE[200],0.169,0.038,0.105,0.241,0.001,0.0,4411.0,3115.0,1.0
sdE[201],0.222,0.044,0.149,0.304,0.001,0.0,5112.0,2684.0,1.0
sdE[202],0.16,0.036,0.102,0.231,0.001,0.0,4409.0,2627.0,1.0
sdE[203],0.039,0.01,0.023,0.058,0.0,0.0,3974.0,2869.0,1.0
sdE[204],0.249,0.046,0.168,0.333,0.001,0.001,5105.0,2828.0,1.0
sdE[205],0.197,0.041,0.127,0.275,0.001,0.0,5279.0,2620.0,1.0
sdE[206],0.03,0.008,0.018,0.044,0.0,0.0,2998.0,2086.0,1.0
sdE[207],0.4,0.05,0.31,0.493,0.001,0.0,5682.0,2755.0,1.0
sdE[208],0.317,0.051,0.227,0.414,0.001,0.001,5041.0,2747.0,1.0
sdE[209],0.162,0.038,0.1,0.234,0.001,0.0,4114.0,2843.0,1.0
sdE[210],0.115,0.029,0.069,0.169,0.001,0.0,3985.0,2417.0,1.0
sdE[211],0.191,0.049,0.105,0.279,0.001,0.001,3224.0,2953.0,1.0
sdE[212],0.264,0.047,0.184,0.353,0.001,0.0,5406.0,3209.0,1.0
sdE[213],0.335,0.051,0.245,0.435,0.001,0.0,7114.0,3089.0,1.0
sdE[214],0.125,0.031,0.075,0.182,0.001,0.0,3782.0,2692.0,1.0
sdE[215],0.364,0.05,0.276,0.457,0.001,0.0,6778.0,2843.0,1.0
sdE[216],0.185,0.044,0.116,0.271,0.001,0.001,3987.0,3122.0,1.0
sdE[217],0.21,0.041,0.142,0.286,0.001,0.0,4831.0,2662.0,1.0
sdE[218],0.143,0.035,0.086,0.209,0.001,0.0,3310.0,2677.0,1.0
sdE[219],0.315,0.049,0.227,0.406,0.001,0.001,5908.0,2773.0,1.0
sdE[220],0.285,0.048,0.194,0.371,0.001,0.0,5011.0,3028.0,1.0
sdE[221],0.368,0.049,0.275,0.456,0.001,0.0,5784.0,2848.0,1.0
sdE[222],0.254,0.046,0.172,0.341,0.001,0.0,4868.0,3091.0,1.0
sdE[223],0.176,0.038,0.112,0.246,0.001,0.0,5227.0,3070.0,1.0
sdE[224],0.272,0.046,0.188,0.36,0.001,0.0,5546.0,2670.0,1.0
sdE[225],0.195,0.04,0.127,0.271,0.001,0.0,5528.0,3186.0,1.0
sdE[226],0.184,0.039,0.118,0.258,0.001,0.0,4598.0,3026.0,1.0
sdE[227],0.277,0.046,0.195,0.362,0.001,0.0,6116.0,3018.0,1.0
sdE[228],0.273,0.046,0.194,0.359,0.001,0.0,5837.0,2838.0,1.0
sdE[229],0.1,0.026,0.057,0.147,0.001,0.0,3341.0,2912.0,1.0
sdE[230],0.08,0.021,0.044,0.117,0.0,0.0,4263.0,2278.0,1.0
sdE[231],0.142,0.033,0.085,0.205,0.001,0.0,4810.0,3146.0,1.0
sdE[232],0.265,0.045,0.184,0.343,0.001,0.0,6596.0,2955.0,1.0
sdE[233],0.222,0.043,0.149,0.304,0.001,0.0,5592.0,3373.0,1.0
sdE[234],0.154,0.035,0.092,0.217,0.001,0.0,5148.0,3202.0,1.0
sdE[235],0.304,0.046,0.223,0.391,0.001,0.0,7050.0,3375.0,1.0
sdE[236],0.273,0.045,0.193,0.358,0.001,0.0,5714.0,2982.0,1.0
sdE[237],0.168,0.038,0.102,0.235,0.001,0.0,4069.0,2657.0,1.0
sdE[238],0.134,0.032,0.083,0.194,0.001,0.0,4002.0,2672.0,1.0
sdE[239],0.202,0.041,0.132,0.281,0.001,0.0,5975.0,3072.0,1.0
sdE[240],0.158,0.036,0.098,0.224,0.001,0.0,4403.0,3170.0,1.0
sdE[241],0.287,0.046,0.205,0.373,0.001,0.0,5715.0,3045.0,1.0
sdE[242],0.171,0.039,0.106,0.244,0.001,0.0,3988.0,2942.0,1.0
sdE[243],0.252,0.044,0.177,0.337,0.001,0.0,5862.0,3213.0,1.0
sdE[244],0.337,0.049,0.25,0.425,0.001,0.001,4542.0,3281.0,1.0
sdE[245],0.227,0.044,0.15,0.31,0.001,0.001,3955.0,2693.0,1.0
sdE[246],0.388,0.049,0.297,0.477,0.001,0.0,6441.0,2984.0,1.0
sdE[247],0.202,0.04,0.135,0.276,0.001,0.0,5499.0,2698.0,1.0
sdE[248],0.251,0.046,0.174,0.342,0.001,0.001,4955.0,2855.0,1.0
sdE[249],0.192,0.038,0.125,0.264,0.001,0.0,5869.0,2588.0,1.0
sdE[250],0.219,0.044,0.144,0.302,0.001,0.0,5532.0,2995.0,1.0
sdE[251],0.216,0.042,0.146,0.299,0.001,0.0,4685.0,2727.0,1.0
sdE[252],0.142,0.035,0.085,0.208,0.001,0.0,3933.0,3050.0,1.0
sdE[253],0.207,0.042,0.133,0.288,0.001,0.0,4918.0,3063.0,1.0
sdE[254],0.19,0.039,0.125,0.265,0.001,0.0,5211.0,2912.0,1.0
sdE[255],0.305,0.048,0.218,0.395,0.001,0.0,6389.0,2946.0,1.0
sdE[256],0.036,0.01,0.02,0.054,0.0,0.0,2948.0,2287.0,1.0
sdE[257],0.217,0.042,0.142,0.294,0.001,0.001,4762.0,2629.0,1.0
sdE[258],0.236,0.044,0.163,0.318,0.001,0.0,5892.0,3235.0,1.0
sdE[259],0.228,0.044,0.154,0.312,0.001,0.0,4638.0,3234.0,1.0
sdE[260],0.296,0.049,0.212,0.388,0.001,0.001,5368.0,3261.0,1.0
sdE[261],0.216,0.043,0.144,0.297,0.001,0.001,4118.0,2847.0,1.0
sdE[262],0.177,0.039,0.112,0.252,0.001,0.001,3771.0,2623.0,1.0
sdE[263],0.029,0.008,0.018,0.043,0.0,0.0,3806.0,2855.0,1.0
sdE[264],0.182,0.039,0.116,0.256,0.001,0.0,4616.0,2696.0,1.0
sdE[265],0.257,0.046,0.176,0.342,0.001,0.0,5239.0,3060.0,1.0
sdE[266],0.072,0.021,0.042,0.109,0.0,0.0,2851.0,2008.0,1.0
sdE[267],0.235,0.045,0.162,0.322,0.001,0.0,5081.0,3422.0,1.0
sdE[268],0.188,0.04,0.123,0.262,0.001,0.0,4665.0,2560.0,1.0
sdE[269],0.163,0.037,0.098,0.229,0.001,0.0,4563.0,2893.0,1.0
sdE[270],0.145,0.033,0.088,0.205,0.001,0.0,4106.0,3130.0,1.0
sdE[271],0.143,0.034,0.09,0.208,0.001,0.0,4834.0,2557.0,1.0
sdE[272],0.23,0.05,0.141,0.32,0.001,0.001,4065.0,3169.0,1.0
sdE[273],0.213,0.041,0.142,0.289,0.001,0.0,5854.0,3399.0,1.0
sdE[274],0.258,0.044,0.179,0.34,0.001,0.0,5370.0,2923.0,1.0
sdE[275],0.336,0.05,0.252,0.438,0.001,0.0,7058.0,2644.0,1.0
sdE[276],0.24,0.045,0.167,0.328,0.001,0.0,4961.0,2936.0,1.0
sdE[277],0.24,0.043,0.165,0.319,0.001,0.0,6243.0,2634.0,1.0
sdE[278],0.267,0.044,0.187,0.348,0.001,0.0,5863.0,2837.0,1.0
sdE[279],0.101,0.028,0.056,0.152,0.001,0.0,3154.0,2623.0,1.0
sdE[280],0.278,0.047,0.198,0.366,0.001,0.0,5882.0,2969.0,1.0
sdE[281],0.234,0.043,0.156,0.309,0.001,0.0,4159.0,2774.0,1.0
sdE[282],0.271,0.045,0.187,0.354,0.001,0.0,5894.0,2962.0,1.0
sdE[283],0.203,0.041,0.134,0.28,0.001,0.0,4899.0,2951.0,1.0
sdE[284],0.14,0.032,0.088,0.201,0.001,0.0,3916.0,2682.0,1.0
sdE[285],0.099,0.025,0.058,0.147,0.0,0.0,4178.0,3375.0,1.0
sdE[286],0.317,0.05,0.226,0.412,0.001,0.001,4981.0,3099.0,1.0
sdE[287],0.175,0.04,0.11,0.247,0.001,0.0,4996.0,2891.0,1.0
sdE[288],0.25,0.045,0.169,0.33,0.001,0.0,6030.0,2937.0,1.0
sdE[289],0.094,0.025,0.056,0.141,0.0,0.0,3568.0,2544.0,1.0
sdE[290],0.072,0.02,0.042,0.108,0.0,0.0,3872.0,2695.0,1.0
sdE[291],0.192,0.039,0.123,0.266,0.001,0.0,6206.0,3343.0,1.0
sdE[292],0.18,0.04,0.114,0.255,0.001,0.0,4788.0,2539.0,1.0
sdE[293],0.198,0.04,0.13,0.273,0.001,0.0,5135.0,2869.0,1.0
sdE[294],0.257,0.047,0.172,0.343,0.001,0.001,5088.0,3150.0,1.0
sdE[295],0.434,0.051,0.344,0.531,0.001,0.001,5308.0,2572.0,1.0
sdE[296],0.223,0.042,0.149,0.303,0.001,0.0,5499.0,3061.0,1.0
sdE[297],0.249,0.044,0.167,0.328,0.001,0.0,6182.0,3110.0,1.0
sdE[298],0.429,0.049,0.343,0.523,0.001,0.0,5685.0,2585.0,1.0
sdE[299],0.272,0.047,0.19,0.358,0.001,0.0,5603.0,2808.0,1.0
